"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"670",123498,243850,433627,458444,692746,699940,1314609,1339308,1463807,NA
"671",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672",1008291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673",143139,441852,568463,1157642,1356354,NA,NA,NA,NA,NA
"674",103963,658738,868174,NA,NA,NA,NA,NA,NA,NA
"675",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676",329658,1179399,NA,NA,NA,NA,NA,NA,NA,NA
"677",141672,1041675,1374845,NA,NA,NA,NA,NA,NA,NA
"678",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681",210638,1205348,1455124,NA,NA,NA,NA,NA,NA,NA
"682",56457,305768,447588,625773,NA,NA,NA,NA,NA,NA
"683",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684",57997,281950,NA,NA,NA,NA,NA,NA,NA,NA
"685",93777,366312,680989,696461,1284076,1382059,1385077,1439463,NA,NA
"686",99301,198100,NA,NA,NA,NA,NA,NA,NA,NA
"687",743410,762869,1152822,NA,NA,NA,NA,NA,NA,NA
"688",991744,997691,1019780,1361952,NA,NA,NA,NA,NA,NA
"689",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",61189,79180,79672,497710,1166600,NA,NA,NA,NA,NA
"691",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692",486670,855039,924007,1245685,NA,NA,NA,NA,NA,NA
